Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty,Variant Inventory Policy,Variant Requires Shipping,Variant Taxable,Image Src
"Auriculares Bluetooth Pro","Auriculares inalámbricos con cancelación de ruido activa y batería de 30 horas","InnovatecJD","Electrónica","audio;accesorios;promoción",TRUE,Color,Negro,"SKU-AUD-001",149.90,20,continue,TRUE,TRUE,assets/images/auriculares-001.jpg
"Auriculares Bluetooth Pro","Auriculares inalámbricos con cancelación de ruido activa y batería de 30 horas","InnovatecJD","Electrónica","audio;accesorios;promoción",TRUE,Color,Blanco,"SKU-AUD-001-W",149.90,15,continue,TRUE,TRUE,assets/images/auriculares-001-w.jpg
"Funda de teléfono resistente","Funda de silicona premium con protección total contra caídas","InnovatecJD","Accesorios","móvil;protección",TRUE,Modelo,iPhone 14,"SKU-FUN-001",29.90,50,continue,TRUE,TRUE,assets/images/funda-001.jpg
"Funda de teléfono resistente","Funda de silicona premium con protección total contra caídas","InnovatecJD","Accesorios","móvil;protección",TRUE,Modelo,iPhone 15,"SKU-FUN-001-15",29.90,45,continue,TRUE,TRUE,assets/images/funda-001.jpg
"Cable USB-C trenzado 2M","Cable de carga rápida con cubierta de nylon trenzado, compatible con todos los dispositivos USB-C","InnovatecJD","Accesorios","carga;cable;accesorios",TRUE,Color,Negro,"SKU-CAB-001",19.90,100,continue,TRUE,TRUE,assets/images/cable-001.jpg
"Powerbank 20000mAh","Batería portátil de alta capacidad con dos puertos USB y carga rápida","InnovatecJD","Electrónica","batería;portátil;energía",TRUE,Capacidad,20000mAh,"SKU-POW-001",59.90,30,continue,TRUE,TRUE,assets/images/powerbank-001.jpg
"Cargador inalámbrico rápido","Cargador Qi 15W con diseño minimalista, compatible con iPhone y dispositivos Android","InnovatecJD","Electrónica","carga;inalámbrico;accesorios",TRUE,Color,Blanco,"SKU-CIN-001",39.90,25,continue,TRUE,TRUE,assets/images/cargador-001.jpg
"Protector de pantalla vidrio templado","Vidrio templado de 9H para máxima protección sin afectar la claridad de imagen","InnovatecJD","Accesorios","protección;pantalla;vidrio",TRUE,Tamaño,6.1 Pulgadas,"SKU-PRO-001",14.90,80,continue,TRUE,TRUE,assets/images/protector-001.jpg
"Soporte para teléfono de escritorio","Soporte ajustable y plegable con base antideslizante, compatible con todos los tamaños","InnovatecJD","Accesorios","escritorio;soporte;productividad",TRUE,Color,Gris,"SKU-SOP-001",24.90,40,continue,TRUE,TRUE,assets/images/soporte-001.jpg
"Teclado inalámbrico compacto","Teclado Bluetooth con batería de 6 meses, ideal para productividad móvil","InnovatecJD","Periféricos","teclado;inalámbrico;trabajo",TRUE,Idioma,Español,"SKU-TEC-001",69.90,20,continue,TRUE,TRUE,assets/images/teclado-001.jpg
"Ratón inalámbrico ergonómico","Ratón Bluetooth con precisión 1600 DPI y diseño ergonómico para comodidad prolongada","InnovatecJD","Periféricos","ratón;inalámbrico;ergonomía",TRUE,Color,Negro,"SKU-RAT-001",44.90,35,continue,TRUE,TRUE,assets/images/raton-001.jpg
"Hub USB-C 7 en 1","Adaptador multipuerto con HDMI, USB 3.0, SD, audio jack y carga rápida PD","InnovatecJD","Accesorios","hub;conectividad;accesorios",TRUE,Versión,7 Puertos,"SKU-HUB-001",89.90,15,continue,TRUE,TRUE,assets/images/hub-001.jpg
"Estuche organizador universal","Estuche con múltiples compartimentos para cables, accesorios y dispositivos pequeños","InnovatecJD","Almacenamiento","organización;viaje;estuche",TRUE,Tamaño,Mediano,"SKU-EST-001",34.90,50,continue,TRUE,TRUE,assets/images/estuche-001.jpg
"Correa de neopreno para cámara","Correa acolchada con sistema de distribución de peso para comodidad en sesiones largas","InnovatecJD","Accesorios Foto","cámara;fotografía;accesorios",TRUE,Color,Negro,"SKU-COR-001",29.90,25,continue,TRUE,TRUE,assets/images/correa-001.jpg
"Filtro ND variable para lentes","Filtro de densidad neutra ajustable de 2 a 8 stops para fotografía profesional","InnovatecJD","Accesorios Foto","fotografía;filtro;profesional",TRUE,Diámetro,52mm,"SKU-FIL-001",79.90,12,continue,TRUE,TRUE,assets/images/filtro-001.jpg
"Foco LED RGB portátil","Foco de luz RGB ajustable con control remoto, ideal para fotografía y video","InnovatecJD","Iluminación","video;fotografía;iluminación",TRUE,Potencia,20W,"SKU-FOC-001",119.90,10,continue,TRUE,TRUE,assets/images/foco-001.jpg
"Trípode telescópico profesional","Trípode de aluminio de 6 pies con cabezal rótula, soporta hasta 5kg","InnovatecJD","Accesorios Foto","fotografía;tripode;profesional",TRUE,Material,Aluminio,"SKU-TRI-001",89.90,18,continue,TRUE,TRUE,assets/images/tripode-001.jpg
"Micrófono de condensador USB","Micrófono cardioide con patrón ajustable, ideal para podcasting y streaming","InnovatecJD","Audio","micrófono;podcast;streaming",TRUE,Tipo,Cardioide,"SKU-MIC-001",129.90,14,continue,TRUE,TRUE,assets/images/micrófono-001.jpg
"Monitor portátil IPS 15.6 pulgadas","Pantalla externa Full HD con conexión USB-C, ideal para productividad móvil","InnovatecJD","Monitores","pantalla;portátil;productividad",TRUE,Resolución,1920x1080,"SKU-MON-001",199.90,8,continue,TRUE,TRUE,assets/images/monitor-001.jpg
"Bolsa antirrobo para laptop 17 pulgadas","Mochila con compartimentos inteligentes y bloqueo TSA, construcción resistente al agua","InnovatecJD","Almacenamiento","mochila;laptop;viaje",TRUE,Tamaño,17 pulgadas,"SKU-BOL-001",79.90,22,continue,TRUE,TRUE,assets/images/bolsa-001.jpg
